key,english,french
amount,AMOUNT,MONTANT
app_name,Park45 Meter,Park45 Compteur
cancel,Cancel,Annuler
back_home,Return to Home,Retour à la maison
check_for_update,Check for update,Vérifier les mises à jour
checking_for_update,Checking for update,Vérification des mises à jour...
collect_card_payment,Collect card payment,Collecter le paiement par carte
collect_payment,Collect payment,Collecter le paiement
collect_payment_description,Collect a card payment using a physical Stripe test card and a card reader,Collecter un paiement par carte en utilisant une carte de test Stripe physique et un lecteur de carte
common_workflows,COMMON WORKFLOWS,WORKFLOWS COURANTS
connecting,Connecting...,Connexion...
currency,CURRENCY,DEVISE
current_version,CURRENT VERSION,VERSION ACTUELLE
default_amount_int,100,100
default_amount_string,$1.00,1,00 $
disconnect,Disconnect,Déconnecter
discovery,Discovery,Découverte
discover_readers,Discover Readers,Découvrir les lecteurs
discovery_method,DISCOVERY METHOD,MÉTHODE DE DÉCOUVERTE
done,Done,Terminé
empty_reader,Empty Reader,Lecteur vide
event_log,EVENT LOG,JOURNAL D'ÉVÉNEMENTS
install_explanation,Version %1$s available. The reader will become unresponsive until the update is complete. Estimated update time: %2$s.,Version %1$s disponible. Le lecteur deviendra non réactif jusqu'à ce que la mise à jour soit terminée. Temps de mise à jour estimé : %2$s.
install_update,Install update,Installer la mise à jour
installation_in_progress,The reader will temporarily become unresponsive. Do not leave this page, and keep the reader in range and powered on until the update is complete.,Le lecteur deviendra temporairement non réactif. Ne quittez pas cette page et gardez le lecteur à portée et sous tension jusqu'à ce que la mise à jour soit terminée.
nearby_readers,NEARBY READERS,LECTEURS À PROXIMITÉ
no_reader,No reader connected,Aucun lecteur connecté
no_update_available,No update available,Aucune mise à jour disponible
reader,Reader,Lecteur
reader_connection,READER CONNECTION,CONNEXION DU LECTEUR
reader_description,%1$s %2$s,%1$s %2$s
save_card,Save card,Sauvegarder la carte
simulated,Simulated,Simulé
simulation_explanation,The SDK comes with the ability to simulate behavior without using physical hardware. This makes it easy to quickly test your integration end-to-end, from connecting a reader to taking payments.,Le SDK permet de simuler le comportement sans utiliser de matériel physique. Cela facilite les tests rapides de votre intégration de bout en bout, de la connexion d'un lecteur à la prise de paiements.
terminal,Terminal,Terminal
testing,Testing,Test
